Date,Open,High,Low,Close,Adj Close,Volume
22/01/1999,0.4375,0.488281,0.388021,0.410156,0.376237,271468800
25/01/1999,0.442708,0.458333,0.410156,0.453125,0.415653,51048000
26/01/1999,0.458333,0.467448,0.411458,0.417969,0.383404,34320000
27/01/1999,0.419271,0.429688,0.395833,0.416667,0.382209,24436800
28/01/1999,0.416667,0.419271,0.41276,0.415365,0.381015,22752000
29/01/1999,0.415365,0.416667,0.395833,0.395833,0.363098,24403200
01/02/1999,0.395833,0.40625,0.395833,0.403646,0.370265,15470400
02/02/1999,0.395833,0.40625,0.360677,0.372396,0.3416,26409600
03/02/1999,0.367188,0.385417,0.364583,0.380208,0.348766,7512000
04/02/1999,0.385417,0.411458,0.380208,0.401042,0.367877,18192000
05/02/1999,0.407552,0.416667,0.397135,0.41276,0.378626,13684800
08/02/1999,0.415365,0.416667,0.398438,0.398438,0.365488,15408000
09/02/1999,0.40625,0.408854,0.377604,0.382813,0.351155,8697600
10/02/1999,0.382813,0.393229,0.372396,0.378906,0.347571,14822400
11/02/1999,0.380208,0.427083,0.380208,0.411458,0.377431,13224000
12/02/1999,0.416667,0.4375,0.416667,0.434896,0.398931,10972800
16/02/1999,0.442708,0.460938,0.393229,0.4375,0.40132,21100800
17/02/1999,0.427083,0.432292,0.40625,0.414063,0.379821,6772800
18/02/1999,0.427083,0.432292,0.408854,0.420573,0.385792,7070400
19/02/1999,0.416667,0.442708,0.411458,0.434896,0.398931,7536000
22/02/1999,0.442708,0.447917,0.414063,0.4375,0.40132,20524800
23/02/1999,0.447917,0.467448,0.421875,0.458333,0.42043,13809600
24/02/1999,0.526042,0.546875,0.483073,0.494792,0.453874,61276800
25/02/1999,0.515625,0.53125,0.471354,0.479167,0.439541,14913600
26/02/1999,0.484375,0.5,0.453125,0.457031,0.419235,17260800
01/03/1999,0.46875,0.479167,0.4375,0.459635,0.421624,9216000
02/03/1999,0.458333,0.460938,0.447917,0.455729,0.418041,5524800
03/03/1999,0.458333,0.458333,0.421875,0.424479,0.389376,6139200
04/03/1999,0.445313,0.447917,0.411458,0.415365,0.381015,5736000
05/03/1999,0.419271,0.440104,0.419271,0.438802,0.402514,7876800
08/03/1999,0.427083,0.458333,0.419271,0.445313,0.408487,7588800
09/03/1999,0.44401,0.466146,0.44401,0.459635,0.421624,14318400
10/03/1999,0.466146,0.466146,0.445313,0.451823,0.414458,23534400
11/03/1999,0.44401,0.451823,0.432292,0.432292,0.396542,5428800
12/03/1999,0.434896,0.434896,0.416667,0.424479,0.389376,9076800
15/03/1999,0.434896,0.447917,0.432292,0.442708,0.406097,10881600
16/03/1999,0.445313,0.450521,0.424479,0.428385,0.392958,7915200
17/03/1999,0.432292,0.440104,0.420573,0.43099,0.395348,5136000
18/03/1999,0.432292,0.442708,0.421875,0.436198,0.400125,4632000
19/03/1999,0.434896,0.450521,0.434896,0.4375,0.40132,10531200
22/03/1999,0.446615,0.447917,0.424479,0.424479,0.389376,3667200
23/03/1999,0.427083,0.427083,0.390625,0.398438,0.365488,16396800
